1	23568	29159
1	339660	356118
1	374287	454858
1	482847	483785
1	508779	584889
1	645348	765531
1	667118	667953
1	803587	810399
1	824601	824936
1	835355	840591
1	862736	863491
1	866290	881779
1	887703	888074
1	1153736	1219051
1	1410003	1417419
1	1429693	1674520
1	1632349	1634073
1	1675330	1709131
1	1708577	1719769
1	1719852	1750855
1	1751014	1778121
1	1793360	1797063
1	1812551	1849436
1	1864037	1895401
1	1953713	1984153
1	2008317	2080162
1	2081423	2115928
1	2164586	2164897
1	2176660	2176857
1	2265005	2265805
1	2313017	2314000
1	2541900	2542556
1	2561330	2594156
1	2602396	2710813
1	2617581	2617742
1	2753390	2854288
1	2877024	2955232
1	2958329	2972851
1	2985548	3002169
1	3274344	3404823
1	3544057	3606129
1	3608220	3681666
1	3748250	4212058
1	3791482	3793200
1	4457051	4457530
1	4520320	4520583
1	4543459	4543647
1	4553591	4553782
1	4627086	4627358
1	4644318	4644590
1	4688111	4688701
1	4696112	4696393
1	4708032	4708304
1	4719981	4720250
1	4740880	4741152
1	4751789	4752082
1	4939846	4940055
1	4947701	4947910
1	4973082	4973309
1	4988685	4988842
1	4994497	4994751
1	5089907	5090098
1	5166579	5166794
1	5173885	5174106
1	5201230	5201451
1	5220806	5221027
1	5236043	5236204
1	5262523	5262765
1	5279085	5279495
1	5282787	5283281
1	5290004	5290507
1	5294752	5354488
1	5333439	5333816
1	5386080	5386266
1	5399894	5401208
1	5462872	5463630
1	5543036	5545155
1	5603060	5603737
1	5887550	6360754
1	6596122	6641390
1	6789046	6837053
1	6897827	6911737
1	6911722	6938957
1	6942652	6955501
1	6967172	7026530
1	7043578	7066195
1	8727609	8727920
1	9211079	9261428
1	9353847	9363353
1	9639632	9778625
1	10001529	10314332
1	10166616	10167716
1	10423513	10461368
1	10460799	10469069
1	10472491	10557974
1	10593174	10620186
1	11021658	11022722
1	11349738	11350040
1	15116667	15680562
1	15479438	15484881
1	15926968	15927126
1	18350348	18493336
1	18493297	18519165
1	18823325	18824352
1	19005596	19038924
1	19196260	19215264
1	19215378	19280724
1	20199559	20200905
1	20330517	20336084
1	20433270	20434310
1	20955840	21116240
1	21977625	21981095
1	22299051	22463681
1	22574776	22588726
1	22598420	22698391
1	22739589	22758689
1	22758545	22839083
1	22834645	22835872
1	22981235	24857688
1	25896918	27030526
1	26233901	26235535
1	26350638	26351657
1	26448676	26449696
