Chr1	1	156943404
Chr2	1	135844732
Chr3	1	120786946
Chr4	1	119487020
Chr5	1	120179969
Chr6	1	117220384
Chr7	1	110433717
Chr8	1	113109275
Chr9	1	104466507
Chr10	1	103156416
Chr11	1	106190332
Chr12	1	86744025
Chr13	1	83353338
Chr14	1	82466886
Chr15	1	84270218
Chr16	1	80235084
Chr17	1	72619036
Chr18	1	62583388
Chr19	1	64467025
Chr20	1	71581568
Chr21	1	69837837
Chr22	1	59995071
Chr23	1	53510974
Chr24	1	62414538
Chr25	1	42605158
Chr26	1	51310239
Chr27	1	45108716
Chr28	1	45896848
Chr29	1	51254507
ChrX	1	146092946
